"","overall_rating","age","height_cm","weight_kgs","potential","value_euro","wage_euro","preferred_foot","ir1","ir2","ir3","ir4","ir5","weak_foot_1","weak_foot_2","weak_foot_3","weak_foot_4","weak_foot_5","skills_2","skills_3","skills_4","skills_5","work_rate_LL","work_rate_LM","work_rate_LH","work_rate_ML","work_rate_MM","work_rate_MH","work_rate_HL","work_rate_HM","work_rate_HH","release_clause_euro","club_rating","club_jersey_number","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","freekick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","composure","marking","standing_tackle","sliding_tackle"
"overall_rating",1,0.463648941102807,0.0630766983052423,0.181715313634587,0.635615657989312,0.599654395544567,0.551651723211096,-0.0334968541082192,-0.481762091043857,0.36066571553514,0.283797420378264,0.152509748557207,0.0642160232879685,0.00212119591942232,-0.103397201493768,-0.0975054359801359,0.212212208774453,0.0693362973246301,-0.457481193919019,0.297313144405776,0.321781055443509,0.111222323169447,0.138013260438163,0.0595699544907273,0.125035130263336,0.0249098411653974,-0.011337448460885,-0.0316131401241131,0.0901255241792017,0.00990555100600342,-0.243856700094874,0.587841146650928,0.620425189344681,-0.200637472547827,0.500779885659461,0.383452713024651,0.476425593501883,0.730536634819492,0.457425157469992,0.525977224703876,0.50734682702326,0.459348614951216,0.59381788343138,0.725017449867826,0.154514727553386,0.173652071221094,0.252946526413537,0.854494884688974,0.0686752134092521,0.568725548688077,0.232595991313719,0.468112458980671,0.351161409391646,0.511091793048947,0.455345294189505,0.331697163857187,0.444550874748723,0.534078753846652,0.400244327806284,0.81064170495253,0.309211215539109,0.264042152950881,0.225135502337359
"age",0.463648941102807,1,0.043951319694878,0.22117686767612,-0.274638103869215,0.0888729297003196,0.155187275775472,-0.00126306531280568,-0.284121171730651,0.244990254070662,0.11668848397544,0.0622467250941418,0.0261456069340267,0.0123485410754308,-0.0443986372086205,-0.0492958635627101,0.10439010391606,0.0141238297403286,-0.105297437570109,0.0843077051802273,0.041313106069158,0.0239608041973366,0.0691430050161679,0.0284568163173379,0.0128041843038264,0.0705917304525054,0.0213195483244446,0.0531932257251291,0.103437667849519,0.0221551088857293,-0.171802595226839,0.0744230495257728,0.0127103364810081,-0.238049204699216,0.267983385439307,0.151197911767089,0.353994902481202,0.314222155079688,0.25098520494154,0.112993895672354,0.265060046517333,0.309918285157883,0.311554125233809,0.262372696434843,-0.204873121538036,-0.19946504841186,-0.010434107792269,0.465631246544443,-0.0883310456486227,0.308593060902894,0.190856998784865,0.23305542272556,0.365790263539961,0.28359067748251,0.399990497368531,0.280965764891009,0.191285406752515,0.244220605948082,0.260126675918562,0.476690193430667,0.237933920802491,0.20502251350345,0.178264470864823
"height_cm",0.0630766983052423,0.043951319694878,1,0.440132196961114,0.0326880964886063,0.022012134391868,0.0327763419817316,0.0203405706031356,-0.0306927961203106,0.0239699003691434,0.0154937277697761,0.00879136808114055,0.0114812775563943,0.00387029002654739,0.045866556749103,0.00613185025713798,-0.0500563004252697,-0.0194163572658938,0.182160075366365,-0.145163856859211,-0.0772711669093197,-0.0234214690524046,-0.0300659762841327,-0.0377433460507424,-0.100718498673429,0.0768349459197674,0.0168940750230641,0.0980650475669538,0.0732267669773063,0.000950007539724281,0.00238961729646192,0.0223222813267541,0.0267266349071854,-0.0377493860857486,-0.272571143538043,-0.155900598314397,0.330644860729306,-0.106141609253352,-0.131721824495265,-0.259594243933712,-0.220103478303464,-0.189610382391111,-0.107736083205963,-0.161353412098876,-0.318234097488464,-0.235997565513734,-0.368230081955584,0.00859175280710309,-0.475064552499864,-0.0542975501614931,0.0349063296309837,-0.0550500765991086,0.386572083383979,-0.16242829260645,0.149561862788347,0.0958531148671695,-0.217805300331229,-0.20525193376448,-0.112655321941023,0.0203564862039272,0.111438642236615,0.112472463954006,0.0962534546353634
"weight_kgs",0.181715313634587,0.22117686767612,0.440132196961114,1,0.00894316103267388,0.0561283929250896,0.0750954628933919,0.0446125075259922,-0.0994112130085469,0.0896384292345363,0.0296960989348513,0.0275316882437416,0.0168420176160951,0.0074945524601383,0.0477441555672246,-0.00730743648835218,-0.0321889477120072,-0.0279470279962753,0.203771191940442,-0.161502593948688,-0.0903150640262068,-0.0178170110595978,-0.00272476995385007,-0.0360289645354938,-0.114988033514128,0.0944661866956231,0.0347585733528877,0.113705164534499,0.107300091294745,-0.0173884450931095,-0.0252424652632696,0.0518634118327496,0.0523021742461274,-0.0999749318165583,-0.252672947990591,-0.128655635407383,0.521116765985137,-0.0687446773370366,-0.0841749307160876,-0.277421842525155,-0.197017677915622,-0.153470765332204,-0.0792354750839915,-0.132540957226202,-0.418389939076023,-0.31287099980689,-0.491924281603329,0.118660989407977,-0.647428463678551,0.0463347160517883,0.108164952403654,0.023754497229513,0.724265824215476,-0.0985894297619841,0.319806614721924,0.178482131868963,-0.191171724645862,-0.1978657180208,-0.0557351059868095,0.117874349237296,0.187323260941292,0.178619135316375,0.152459849366921
"potential",0.635615657989312,-0.274638103869215,0.0326880964886063,0.00894316103267388,1,0.534942616638377,0.451427895166977,-0.0280493015393974,-0.325853860783539,0.219863811718787,0.22721961297215,0.12835749732748,0.0571438953808615,-0.0140636868487344,-0.0834941932313508,-0.0442234614072383,0.126594432639062,0.061673152436809,-0.355456274840378,0.209600644284876,0.291924316225784,0.0979359923480576,0.0781565236934694,0.0372439709120685,0.0908721521715898,-0.0159019617431709,-0.0230389197190612,-0.0595115559749406,0.0198962064433749,-0.00981292865080005,-0.103044578681955,0.536870524987765,0.688466053129502,0.0169963564573618,0.266448424929398,0.255950453499362,0.223915215550547,0.489972241425353,0.267182444602861,0.413664183739635,0.300758322235227,0.231383834063741,0.357668768738593,0.510546720638969,0.232660296738435,0.238248768512593,0.208215704715491,0.496965958630372,0.1192015193574,0.328167905318258,0.0641888212383316,0.198267296161574,0.0521248035987626,0.28278946022657,0.150991982963973,0.123804257948669,0.273562158511244,0.349447266524113,0.228063011608569,0.466450111150176,0.14047418601235,0.117327458892969,0.100865977413671
"value_euro",0.599654395544567,0.0888729297003196,0.022012134391868,0.0561283929250896,0.534942616638377,1,0.868646382044972,-0.00669089648190991,-0.487217968298404,0.249567396440735,0.420548842968127,0.330662639416229,0.219954824526555,-0.00567230579063882,-0.0649895865875274,-0.0849776825759682,0.154060314241941,0.0778087638934308,-0.234370848054818,0.0461900334922941,0.352359095694469,0.197532891805491,0.112515937966621,0.033217748752684,0.0833396398727957,-0.0190007376495376,-0.0132979479082984,-0.0367274962810784,0.0254991720608764,-0.0012508929635932,-0.12708298657982,0.994715926748553,0.547379016752369,-0.0833016433530253,0.284941690952514,0.281033754577333,0.227939184221133,0.430954147111932,0.318741702129104,0.358630278989894,0.316430525049335,0.283924719110429,0.333643182304678,0.450551303306515,0.164439508711943,0.164898864456486,0.19012304345923,0.527284127970963,0.10741594756646,0.33337425397569,0.101163621477099,0.253087317856836,0.116445707237064,0.313758589066304,0.186410022119177,0.125928566377799,0.305457273097477,0.356934493716075,0.268038029115624,0.476714954103481,0.124626095987953,0.0945655957898686,0.0709041211911918
"wage_euro",0.551651723211096,0.155187275775472,0.0327763419817316,0.0750954628933919,0.451427895166977,0.868646382044972,1,-0.00676280180938327,-0.501823619931893,0.258060279456039,0.409487976358078,0.384348618039531,0.253907450899969,-0.00338489240925648,-0.0614616071153373,-0.0657264079676402,0.129104652545826,0.0651070507855523,-0.20543106180352,0.0576004227971077,0.275463065656278,0.163466639925744,0.106135397207776,0.0241486970438856,0.0639879435150665,-0.00773850660629172,-0.0115236016637035,-0.0242936076231941,0.0386755757599236,-0.00214594955103298,-0.121008224518614,0.865391071939775,0.55406365618551,-0.0790996914257325,0.271814961319316,0.238442608664625,0.23983311975338,0.393244577289594,0.287702453265714,0.313539637182687,0.291097086287311,0.257529684114523,0.308818356046124,0.405882658534158,0.107824792202558,0.11219325565318,0.14877096683215,0.488272948750006,0.0784243090315259,0.309777799704553,0.10920647770633,0.209528188556138,0.12860214101927,0.282312767197891,0.202988873269536,0.147837870344727,0.268049911699716,0.318603690054558,0.252219284085388,0.446216495269078,0.142369392778771,0.118015013883335,0.100041069712814
"preferred_foot",-0.0334968541082192,-0.00126306531280568,0.0203405706031356,0.0446125075259922,-0.0280493015393974,-0.00669089648190991,-0.00676280180938327,1,-0.00590142428853322,0.00420509631872465,0.00425144659480493,0.00058947418161089,0.00201917175414392,-0.031363621017309,-0.118601197878915,0.0404363495507422,0.0714266706281133,0.0116351289879455,0.0531249416250477,-0.039571278150705,-0.0274674348299267,-0.0102920036148217,0.0165649233004561,-0.0168098708023152,-0.0540673088200055,0.032733467411317,0.0140863885733708,0.0229343077368233,0.0392404445901705,0.0110189964663726,-0.00746376591248725,-0.00808172499052506,-0.0392599952015252,0.0143488243966472,-0.191783191139451,0.0303518790517566,0.0689527195077784,-0.0342786054030582,0.0166252215758365,-0.0811374291525018,-0.12480276678571,-0.113866714085675,-0.053988598978336,-0.0528721237299641,-0.0653695391859403,-0.0618323392488513,-0.0588084008482911,-0.0115486956830242,-0.0511284928881863,-0.00339097380844979,0.0551106842030646,-0.0179095016292525,0.0604555461790777,-0.0181195690220491,0.0157005710585809,-0.0528661123609995,-0.0300089936294025,-0.0230627774070526,0.00932842549272287,-0.00974359741035465,-0.0509753177087082,-0.0613288348932288,-0.0752058463099422
"ir1",-0.481762091043857,-0.284121171730651,-0.0306927961203106,-0.0994112130085469,-0.325853860783539,-0.487217968298404,-0.501823619931893,-0.00590142428853322,1,-0.871385770305611,-0.418204954326933,-0.168879668030028,-0.0562222975852929,-0.00699711168257992,0.048333882479392,0.0796403521246776,-0.137816934441213,-0.0477808688643623,0.178875135518814,-0.0476094385421472,-0.246824237042711,-0.135504241814331,-0.0777663562724016,-0.0348973041566496,-0.0315039204935695,-0.00106549929484221,0.000376044142212463,0.00772040783869182,-0.0411813662180533,-0.0303150858615849,0.112619415270854,-0.474198979039797,-0.40464173163742,0.057339087696722,-0.265075292349694,-0.215081030998588,-0.2484732583678,-0.359960425954722,-0.305566353152755,-0.268765344948301,-0.303200243033699,-0.277262162411047,-0.301175393570504,-0.35871631255963,-0.00488952092593621,-0.00226534381765357,-0.0852622616571488,-0.444327391194414,-0.039921488085156,-0.317132786315065,-0.110106573055665,-0.104818910346711,-0.13717144475524,-0.278169656918485,-0.227279280646539,-0.151392766675725,-0.24740933622427,-0.306247156014974,-0.281058189377233,-0.439065481285673,-0.144027035016808,-0.114607122273192,-0.0962219637094173
"ir2",0.36066571553514,0.244990254070662,0.0239699003691434,0.0896384292345363,0.219863811718787,0.249567396440735,0.258060279456039,0.00420509631872465,-0.871385770305611,1,-0.0362904692584856,-0.0146548297374685,-0.00487878859647718,0.0117360950689397,-0.038449017599486,-0.0589780059684266,0.109620678925774,0.0180182506897884,-0.150067375907339,0.0599875628432813,0.177790473506437,0.0618292899470445,0.0537323968614014,0.0228430688188168,0.0233542373939657,0.00357243175658253,0.0032487039625448,0.000418871578248111,0.0366780127355313,0.0269572067914216,-0.089701538409424,0.240679811360212,0.29494866386724,-0.044916513803056,0.211092680617591,0.157317064454279,0.200342461450063,0.277866970869841,0.231898446568068,0.199865751100502,0.23639036646528,0.216134556531531,0.237392336298431,0.272017362832828,-0.0195924808139637,-0.0228438047222851,0.0538143180049694,0.338741296290859,0.0209686101348747,0.257201054027571,0.0884656894565457,0.0696081966961106,0.117762859574897,0.220059971404645,0.197033848191603,0.130380541689122,0.187802574622545,0.232413693469505,0.212973458865053,0.337020595754011,0.122893221661242,0.101582132875041,0.0860438773524016
