"","overall_rating","full_name","age","height_cm","weight_kgs","potential","value_euro","wage_euro","preferred_foot","ir1","ir2","ir3","ir4","ir5","weak_foot_1","weak_foot_2","weak_foot_3","weak_foot_4","weak_foot_5","skills_2","skills_3","skills_4","skills_5","work_rate_LL","work_rate_LM","work_rate_LH","work_rate_ML","work_rate_MM","work_rate_MH","work_rate_HL","work_rate_HM","work_rate_HH","release_clause_euro","club_rating","club_jersey_number","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","freekick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","composure","marking","standing_tackle","sliding_tackle"
"1",58,"Murat Şatin",22,152.4,68.9,68,210000,1000,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,347000,64,80,57,52,40,52,52,62,50,57,46,58,72,78,70,52,71,61,50,65,46,55,27,48,43,52,45,55,25,24,28
"2",75,"Aminu Umar",24,175.26,72.1,80,9e+06,13000,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,18700000,71,50,66,65,45,74,54,79,59,47,64,78,90,88,89,70,83,75,62,72,69,71,74,66,66,72,53,75,50,60,54
"3",61,"James Robert Wallace",27,154.94,83,61,270000,2000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,473000,65,38,66,55,54,64,63,50,36,42,62,61,49,55,62,60,62,64,60,50,63,62,63,61,52,67,47,55,63,53,40
"4",59,"Connor Wood",22,152.4,78,68,210000,1000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,410000,65,23,56,35,48,43,30,58,40,41,36,56,72,69,69,56,69,34,62,69,66,29,59,56,59,46,37,48,61,58,57
"5",74,"Mykyta Burda",23,187.96,79.8,81,7e+06,1000,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16100000,75,26,28,17,72,62,27,31,22,27,45,48,63,66,40,74,52,34,67,64,80,21,69,79,27,31,33,68,76,76,71
"6",77,"Guillaume Hoarau",35,193.04,84.8,77,4700000,26000,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7e+06,71,99,66,83,84,75,75,68,66,54,63,72,45,51,68,78,59,78,72,67,89,69,63,34,82,69,81,77,32,53,35
"7",55,"David Pipe",35,175.26,77.1,55,30000,1000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,53000,62,2,60,21,40,56,13,45,42,37,55,57,57,54,53,61,70,36,61,66,85,24,94,31,41,53,35,53,55,51,58
"8",63,"Robert Milsom",32,152.4,72.1,63,325000,4000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,569000,63,24,60,61,59,63,56,59,60,65,62,58,63,66,69,62,70,65,77,77,78,59,68,64,61,60,66,67,56,63,56
"9",63,"Jesper Karlsson",20,170.18,69.9,67,475000,1000,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,629000,65,19,46,63,44,55,59,74,47,36,40,67,82,77,92,65,90,64,84,60,40,55,35,25,65,53,58,55,29,21,35
"10",68,"Mohammed Fatau",26,152.4,73.9,70,925000,7000,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1600000,67,3,55,37,58,69,44,59,34,35,62,65,66,65,65,57,64,70,84,78,75,44,71,69,36,61,38,54,63,71,67
"11",64,"Tom Bayliss",19,182.88,78,78,950000,1000,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2300000,64,20,49,46,53,68,42,72,47,35,62,69,79,66,78,56,53,52,59,74,63,41,53,47,60,63,44,68,51,52,50
